File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location
2012-01598,3/3/2012 18:29,3/3/2012 18:28,Domestic Dispute,703,Riverside,"0 RIVER STREET, Cambridge, MA"
2012-01599,3/3/2012 19:17,3/3/2012 19:17,Mal. Dest. Property,708,Riverside,"0 JFK STREET, Cambridge, MA"
2012-01600,3/3/2012 19:58,3/3/2012 19:57,Mal. Dest. Property,708,Riverside,"0 JFK STREET, Cambridge, MA"
2012-01601,3/3/2012 19:53,3/3/2012 19:53,Mal. Dest. Property,1002,West Cambridge,"0 BRATTLE STREET, Cambridge, MA"
2012-01602,3/3/2012 19:53,3/3/2012 19:52,Mal. Dest. Property,708,Riverside,"0 JFK STREET, Cambridge, MA"
2012-01603,3/3/2012 20:07,3/3/2012 20:06,Mal. Dest. Property,708,Riverside,"0 DUNSTER STREET, Cambridge, MA"
2012-01604,3/3/2012 19:41,3/3/2012 19:41,Domestic Dispute,602,Mid-Cambridge,"0 CENTRE STREET, Cambridge, MA"
2012-01605,3/3/2012 20:53,03/03/2012 19:15 - 20:53,Larceny from Person,708,Riverside,"0 DUNSTER STREET, Cambridge, MA"
2012-01606,3/4/2012 0:03,3/4/2012 0:03,Hit and Run,203,MIT,"MASSACHUSETTS Avenue & VASSAR STREET, Cambridge, MA"
2012-01607,3/3/2012 23:36,3/3/2012 23:35,Housebreak,301,Inman/Harrington,"0 HUNTING STREET, Cambridge, MA"
2012-01608,3/4/2012 2:04,03/04/2012 02:20 - 02:25,Larceny from Residence,902,Peabody,"0 LANGDON STREET, Cambridge, MA"
2012-01609,3/4/2012 2:28,03/03/2012 23:30 - 03/04/2012 02:28,Larceny of Plate,411,Area 4,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2012-01610,3/4/2012 2:55,3/4/2012 2:54,Housebreak,1108,North Cambridge,"0 JACKSON STREET, Cambridge, MA"
2012-01611,3/4/2012 9:47,03/04/2012 09:46 - 10:27,Domestic Dispute,305,Inman/Harrington,"300 NORFOLK STREET, Cambridge, MA"
2012-01614,3/4/2012 12:30,03/03/2012 15:00 - 03/04/2012 12:30,Larceny of Plate,1101,North Cambridge,"DAVENPORT STREET & ORCHARD STREET, Cambridge, MA"
2012-01615,3/4/2012 13:24,01/01/2012 14:07 - 03/04/2012 13:23,Harassment,1015,West Cambridge,"600 Mount Auburn STREET, Cambridge, MA"
2012-01616,3/4/2012 13:47,3/4/2012 13:47,Domestic Dispute,304,Inman/Harrington,"0 BRISTOL STREET, Cambridge, MA"
2012-01617,3/4/2012 13:31,03/03/2012 12:00 - 03/04/2012 12:00,Hit and Run,805,Agassiz,"0 CARVER STREET, Cambridge, MA"
2012-01619,3/4/2012 13:39,03/03/2012 20:30 - 03/04/2012 06:30,Housebreak,503,Cambridgeport,"300 SIDNEY STREET, Cambridge, MA"
2012-01620,3/4/2012 13:57,10/01/2011 13:56 - 02/29/2012 13:56,Larceny from Residence,1302,Strawberry Hill,"100 PARK Avenue, Cambridge, MA"
2012-01621,3/4/2012 13:49,3/4/2012 13:49,Hit and Run,901,Peabody,"0 GARDEN STREET, Cambridge, MA"
2012-01622,3/4/2012 14:22,3/4/2012 14:21,Larceny (Misc),304,Inman/Harrington,"100 WILLOW STREET, Cambridge, MA"
2012-01624,3/4/2012 18:19,3/4/2012 18:18,Larceny from Person,1002,West Cambridge,"100 Mount Auburn STREET, Cambridge, MA"
2012-01625,3/4/2012 19:44,03/04/2012 19:00 - 19:20,Larceny from Person,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2012-01626,3/4/2012 18:23,03/04/2012 16:00 - 18:23,Housebreak,903,Peabody,"0 AVON STREET, Cambridge, MA"
2012-01627,3/4/2012 20:46,3/4/2012 20:46,Domestic Dispute,504,Cambridgeport,"100 FRANKLIN STREET, Cambridge, MA"
2012-01628,3/4/2012 21:30,03/03/2012 22:00 - 03/04/2012 22:13,Larceny from Person,708,Riverside,"0 Holyoke STREET, Cambridge, MA"
2012-01629,3/4/2012 22:00,3/4/2012 21:59,Threats,702,Riverside,"900 MASSACHUSETTS Avenue, Cambridge, MA"
2012-01630,3/4/2012 21:32,3/4/2012 21:31,Domestic Dispute,803,Agassiz,"0 EVERETT STREET, Cambridge, MA"
2012-01631,3/4/2012 22:28,3/4/2012 22:28,Domestic Dispute,708,Riverside,"1400 MASSACHUSETTS Avenue, Cambridge, MA"
2012-01637,3/5/2012 12:41,3/5/2012 12:40,Forgery,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01638,3/5/2012 12:34,03/04/2012 17:00 - 03/05/2012 07:00,Commercial Break,913,Peabody,"0 NEW STREET, Cambridge, MA"
2012-01641,3/5/2012 13:57,03/03/2012 18:00 - 03/04/2012 12:00,Commercial Break,105,East Cambridge,"600 CAMBRIDGE STREET, Cambridge, MA"
2012-01642,3/5/2012 12:53,03/05/2012 08:30 - 12:30,Housebreak,601,Mid-Cambridge,"100 Norfolk STREET, Cambridge, MA"
2012-01643,3/5/2012 16:18,03/05/2012 11:35 - 15:00,Larceny from Building,105,East Cambridge,"200 BENT STREET, Cambridge, MA"
2012-01644,3/5/2012 16:20,03/05/2012 07:30 - 13:00,Larceny of Plate,609,Mid-Cambridge,"BROADWAY & PROSPECT STREET, Cambridge, MA"
2012-01645,3/5/2012 17:36,02/25/2012 17:35 - 02/29/2012 17:35,Larceny of Bicycle,1002,West Cambridge,"0 BRATTLE STREET, Cambridge, MA"
2012-01646,3/5/2012 17:41,3/5/2012 17:40,Forgery,509,Cambridgeport,"700 MEMORIAL DRIVE, Cambridge, MA"
2012-01648,3/5/2012 17:53,03/05/2012 16:55 - 18:00,Mal. Dest. Property,1017,West Cambridge,"Mount Auburn STREET & SPARKS STREET, Cambridge, MA"
2012-01649,3/5/2012 17:54,03/05/2012 12:00 - 16:30,Mal. Dest. Property,603,Mid-Cambridge,"0 CHATHAM STREET, Cambridge, MA"
2012-01650,3/5/2012 18:21,3/5/2012 18:21,Shoplifting,504,Cambridgeport,"0 SIDNEY STREET, Cambridge, MA"
2012-01651,3/5/2012 18:18,3/5/2012 18:17,Domestic Dispute,504,Cambridgeport,"100 FRANKLIN STREET, Cambridge, MA"
2012-01652,3/5/2012 18:38,3/5/2012 18:38,Simple Assault,510,Cambridgeport,"Putnam Gdns & Putnam Gdns, Cambridge, MA"
2012-01653,3/5/2012 19:57,02/18/2012 20:55 - 02/19/2012 09:00,Larceny from Residence,406,Area 4,"200 PROSPECT STREET, Cambridge, MA"
2012-01654,3/5/2012 21:25,3/5/2012 21:24,Simple Assault,201,MIT,"100 BROADWAY, Cambridge, MA"
2012-01655,3/5/2012 22:52,3/5/2012 22:52,Larceny from Person,501,Cambridgeport,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2012-01657,3/6/2012 2:11,3/6/2012 2:10,Simple Assault,305,Inman/Harrington,"100 WEBSTER Avenue, Cambridge, MA"
2012-01658,3/6/2012 3:14,3/6/2012 3:13,Larceny from MV,411,Area 4,"BISHOP ALLEN DRIVE & COLUMBIA STREET, Cambridge, MA"
2012-01659,3/6/2012 7:51,03/06/2012 07:51 - 09:06,Aggravated Assault,708,Riverside,"0 Dunster STREET, Cambridge, MA"
2012-01660,3/6/2012 8:34,03/06/2012 08:00 - 08:30,Auto Theft,304,Inman/Harrington,"100 BERKSHIRE STREET, Cambridge, MA"
2012-02468,4/5/2012 9:58,4/5/2012 9:57,Threats,305,Inman/Harrington,"200 ELM STREET, Cambridge, MA"
2012-01661,3/6/2012 8:56,03/05/2012 22:30 - 03/06/2012 08:56,Auto Theft,911,Peabody,"100 SHERMAN STREET, Cambridge, MA"
2012-01662,3/6/2012 8:58,03/05/2012 23:00 - 03/06/2012 08:57,Larceny from MV,1109,North Cambridge,"200 SHERMAN STREET, Cambridge, MA"
2012-01663,3/6/2012 9:02,03/05/2012 23:00 - 03/06/2012 06:45,Larceny from MV,908,Peabody,"300 WALDEN STREET, Cambridge, MA"
2012-01664,3/6/2012 10:14,03/05/2012 23:00 - 03/06/2012 06:45,Larceny from MV,908,Peabody,"300 WALDEN STREET, Cambridge, MA"
2012-01665,3/6/2012 9:04,03/05/2012 08:15 - 08:50,Aggravated Assault,1108,North Cambridge,"100 CLIFTON STREET, Cambridge, MA"
2012-01666,3/6/2012 10:15,03/05/2012 23:00 - 03/06/2012 06:45,Larceny from MV,908,Peabody,"300 WALDEN STREET, Cambridge, MA"
2012-01668,3/6/2012 10:30,03/06/2012 10:30 - 11:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01671,3/6/2012 12:20,02/12/2012 13:20 - 13:26,Larceny from Building,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01672,3/6/2012 12:53,03/06/2012 14:00 - 18:30,Housebreak,1012,West Cambridge,"0 STANDISH STREET, Cambridge, MA"
2012-01673,3/6/2012 12:35,3/6/2012 12:34,Threats,910,Peabody,"0 WALDEN SQUAREUARE ROAD , Cambridge, MA"
2012-01675,3/6/2012 12:32,3/6/2012 12:31,Threats,103,East Cambridge,"400 THIRD STREET, Cambridge, MA"
2012-01676,3/6/2012 13:09,3/6/2012 13:08,Forgery,505,Cambridgeport,"700 MEMORIAL DRIVE, Cambridge, MA"
2012-01678,3/6/2012 14:09,3/6/2012 14:08,Forgery,505,Cambridgeport,"700 MEMORIAL DRIVE, Cambridge, MA"
2012-01684,3/6/2012 15:13,3/5/2012 8:00,Hit and Run,1104,North Cambridge,"Richard Avenue & Massachusetts AVENUE, Cambridge, MA"
2012-01688,3/6/2012 18:07,3/6/2012 18:07,Forgery,506,Cambridgeport,"100 PEARL STREET, Cambridge, MA"
2012-01689,3/6/2012 19:27,3/6/2012 19:27,Warrant Arrest,107,East Cambridge,"0 THORNDIKE STREET, Cambridge, MA"
2012-01690,3/6/2012 19:50,3/6/2012 19:50,Simple Assault,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2012-01692,3/6/2012 20:28,03/06/2012 17:45 - 18:30,Larceny from MV,1110,North Cambridge,"200 CONCORD TPKE, Cambridge, MA"
2012-01694,3/6/2012 23:06,03/06/2012 18:00 - 22:30,Larceny from Building,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01695,3/6/2012 23:59,3/6/2012 23:58,Simple Assault,603,Mid-Cambridge,"300 HARVARD STREET, Cambridge, MA"
2012-01698,3/7/2012 9:42,3/7/2012 9:42,Mal. Dest. Property,1108,North Cambridge,"100 HARVEY STREET, Cambridge, MA"
2012-01699,3/7/2012 10:44,12/01/2011 00:00 - 12/31/2011 00:00,Larceny from MV,905,Peabody,"100 UPLAND ROAD , Cambridge, MA"
2012-01700,3/7/2012 11:18,02/15/2012 11:17 - 03/07/2012 11:17,Housebreak,905,Peabody,"100 UPLAND ROAD , Cambridge, MA"
2012-01701,3/7/2012 11:03,03/06/2012 00:00 - 03/07/2012 11:03,Larceny from MV,1108,North Cambridge,"100 CLIFTON STREET, Cambridge, MA"
2012-01702,3/7/2012 11:39,12/01/2011 00:00 - 03/07/2012 11:39,Forgery,301,Inman/Harrington,"400 EVERETEZE WAY, Cambridge, MA"
2012-01704,3/7/2012 12:16,03/03/2012 11:00 - 12:00,Larceny from Building,101,East Cambridge,"200 MONSIGNOR OBRIEN HIGHWAY, Cambridge, MA"
2012-01706,3/7/2012 14:28,03/06/2012 00:00 - 03/07/2012 14:27,Larceny from MV,912,Peabody,"200 FAYERWEATHER STREET, Cambridge, MA"
2012-01707,3/7/2012 15:35,02/08/2012 15:53 - 03/07/2012 15:35,Phone Calls,1202,Highlands,"0 SMITH PLACE, Cambridge, MA"
2012-01708,3/7/2012 13:17,02/28/2012 17:42 - 17:47,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01710,3/7/2012 15:41,03/07/2012 11:15 - 12:30,Larceny from Building,103,East Cambridge,"200 FIRST STREET, Cambridge, MA"
2012-01712,3/7/2012 17:49,03/03/2012 10:00 - 10:30,Simple Assault,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01713,3/7/2012 18:31,3/7/2012 18:30,Indecent Exposure,606,Mid-Cambridge,"400 BROADWAY, Cambridge, MA"
2012-01717,3/7/2012 20:53,3/7/2012 20:52,Simple Assault,501,Cambridgeport,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2012-01719,3/8/2012 0:05,3/8/2012 0:04,Mal. Dest. Property,1002,West Cambridge,"0 BRATTLE STREET, Cambridge, MA"
2012-01720,3/8/2012 0:08,3/8/2012 0:08,Street Robbery,1008,West Cambridge,"Brattle STREET & Sparks STREET, Cambridge, MA"
2012-01721,3/8/2012 2:43,3/8/2012 2:43,Domestic Dispute,105,East Cambridge,"400 CAMBRIDGE STREET, Cambridge, MA"
2012-01722,3/8/2012 7:05,02/13/2012 06:00 - 06:15,Mal. Dest. Property,1101,North Cambridge,"0 WHITE STREET, Cambridge, MA"
2012-01723,3/8/2012 7:20,03/08/2012 12:30 - 13:00,Larceny from Person,504,Cambridgeport,"0 Sidney STREET, Cambridge, MA"
2012-01724,3/8/2012 7:41,03/07/2012 18:00 - 03/08/2012 07:00,Larceny from MV,1107,North Cambridge,"0 PEMBERTON STREET, Cambridge, MA"
2012-01726,3/8/2012 8:20,3/8/2012 8:19,Warrant Arrest,108,East Cambridge,"100 Sixth STREET, Cambridge, MA"
2012-01727,3/8/2012 8:31,03/07/2012 20:00 - 03/08/2012 06:30,Mal. Dest. Property,409,Area 4," NORFOLK STREET, Cambridge, MA"
2012-01728,3/8/2012 10:08,03/08/2012 08:10 - 09:15,Larceny from Person,1108,North Cambridge,"100 MONTGOMERY STREET, Cambridge, MA"
2012-01729,3/8/2012 10:32,3/8/2012 10:31,Domestic Dispute,1103,North Cambridge,"0 WASHBURN TERRACE, Cambridge, MA"
2012-01730,3/8/2012 10:38,03/07/2012 10:37 - 03/08/2012 10:37,Larceny from Residence,304,Inman/Harrington,"400 WINDSOR STREET, Cambridge, MA"
2012-01731,3/8/2012 11:36,3/8/2012 11:35,Harassment,708,Riverside,"LINDEN STREET & Mount Auburn STREET, Cambridge, MA"
2012-01733,3/8/2012 14:27,3/8/2012 14:26,Mal. Dest. Property,602,Mid-Cambridge,"800 MASSACHUSETTS Avenue, Cambridge, MA"
2012-01734,3/8/2012 14:39,3/2/2012 16:30,Shoplifting,105,East Cambridge,"500 CAMBRIDGE STREET, Cambridge, MA"
2012-01735,3/8/2012 14:53,3/8/2012 14:52,Forgery,1109,North Cambridge,"400 RINDGE Avenue, Cambridge, MA"
2012-01737,3/8/2012 15:26,3/8/2012 15:26,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01739,3/8/2012 15:54,3/8/2012 15:53,Aggravated Assault,1103,North Cambridge,"0 WASHBURN TERRACE, Cambridge, MA"
2012-01740,3/8/2012 17:51,3/8/2012 17:50,Phone Calls,1109,North Cambridge,"0 JACKSON PLACE, Cambridge, MA"
2012-01745,3/8/2012 19:44,03/04/2012 19:00 - 03/07/2012 11:00,Hit and Run,508,Cambridgeport,"200 CHESTNUT STREET, Cambridge, MA"
2012-01746,3/8/2012 20:02,3/8/2012 20:01,Harassment,507,Cambridgeport,"100 PLEASANT STREET, Cambridge, MA"
2012-01747,3/8/2012 20:45,03/08/2012 18:30 - 20:45,Larceny from MV,1110,North Cambridge,"200 CONCORD TPKE, Cambridge, MA"
2012-01748,3/8/2012 21:17,3/8/2012 21:16,Domestic Dispute,706,Riverside,"0 PUTNAM GDNS, Cambridge, MA"
2012-01749,3/8/2012 21:29,3/8/2012 21:29,Larceny from Person,501,Cambridgeport,"600 Massachusetts Avenue, Cambridge, MA"
2012-01750,3/9/2012 2:07,3/9/2012 2:07,Disorderly,501,Cambridgeport,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2012-01751,3/9/2012 4:56,3/9/2012 4:55,Domestic Dispute,1109,North Cambridge,"400 Rindge Avenue, Cambridge, MA"
2012-01752,3/9/2012 7:28,03/08/2012 20:00 - 03/09/2012 07:00,Larceny from MV,304,Inman/Harrington,"0 WILLOW STREET, Cambridge, MA"
2012-01753,3/9/2012 7:04,3/9/2012 7:03,Domestic Dispute,403,Area 4,"100 HARVARD STREET, Cambridge, MA"
2012-01754,3/9/2012 7:44,3/9/2012 7:44,Warrant Arrest,601,Mid-Cambridge,"700 Massachusetts Avenue, Cambridge, MA"
2012-01755,3/9/2012 7:51,3/9/2012 7:51,Domestic Dispute,403,Area 4,"200 HARVARD STREET, Cambridge, MA"
2012-01757,3/9/2012 9:24,3/9/2012 9:23,Mal. Dest. Property,503,Cambridgeport,"0 CHESTNUT STREET, Cambridge, MA"
2012-01758,3/9/2012 9:36,03/07/2012 17:15 - 03/08/2012 08:00,Larceny from MV,1107,North Cambridge,"0 FAIRFIELD STREET, Cambridge, MA"
2012-01760,3/9/2012 9:15,03/08/2012 00:00 - 03/09/2012 08:30,Mal. Dest. Property,301,Inman/Harrington,"500 WINDSOR STREET, Cambridge, MA"
2012-01763,3/9/2012 10:16,3/9/2012 10:16,Phone Calls,702,Riverside,"400 FRANKLIN STREET, Cambridge, MA"
2012-01764,3/9/2012 11:10,3/9/2012 11:10,Warrant Arrest,504,Cambridgeport,"0 PEARL STREET, Cambridge, MA"
2012-01765,3/9/2012 11:39,03/03/2012 23:00 - 03/04/2012 01:00,Larceny from Person,408,Area 4,"800 MAIN STREET, Cambridge, MA"
2012-01766,3/9/2012 11:48,3/9/2012 11:48,Shoplifting,1002,West Cambridge,"0 BRATTLE STREET, Cambridge, MA"
2012-01767,3/9/2012 11:45,02/27/2012 11:45 - 03/09/2012 11:45,Housebreak,1303,Strawberry Hill,"0 STREET SAUVEUR COURT, Cambridge, MA"
2012-01768,3/9/2012 12:59,3/9/2012 12:58,Warrant Arrest,1002,West Cambridge,"0 Brattle STREET, Cambridge, MA"
2012-01770,3/9/2012 15:03,3/9/2012 15:02,Forgery,903,Peabody,"0 HURLBUT STREET, Cambridge, MA"
2012-01771,3/9/2012 15:16,3/9/2012 15:15,Aggravated Assault,604,Mid-Cambridge,"ANTRIM STREET & BROADWAY, Cambridge, MA"
2012-01773,3/9/2012 17:42,3/9/2012 17:42,Domestic Dispute,1011,West Cambridge,"0 RESERVOIR STREET, Cambridge, MA"
2012-01775,3/9/2012 18:27,3/9/2012 18:27,Street Robbery,409,Area 4,"0 COLUMBIA TERRACE, Cambridge, MA"
2012-01777,3/9/2012 19:48,03/09/2012 19:00 - 19:48,Mal. Dest. Property,402,Area 4,"BROADWAY & MARKET STREET, Cambridge, MA"
2012-01778,3/9/2012 19:36,3/9/2012 19:36,Missing Person,1106,North Cambridge,"0 RICE STREET, Cambridge, MA"
2012-01779,3/9/2012 20:32,03/05/2012 21:19 - 03/09/2012 20:31,Phone Calls,105,East Cambridge,"200 THORNDIKE STREET, Cambridge, MA"
2012-01780,3/9/2012 23:35,03/09/2012 19:30 - 23:30,Larceny from MV,1110,North Cambridge,"200 CONCORD TPKE, Cambridge, MA"
2012-01781,3/9/2012 23:13,3/9/2012 23:12,Threats,103,East Cambridge,"200 FIRST STREET, Cambridge, MA"
2012-01782,3/10/2012 0:35,03/09/2012 18:00 - 03/10/2012 00:35,Hit and Run,403,Area 4,"100 MOORE STREET, Cambridge, MA"
2012-01783,3/10/2012 7:16,3/10/2012 7:16,Aggravated Assault,301,Inman/Harrington,"0 ROOSEVELT TOWERS, Cambridge, MA"
2012-01784,3/10/2012 7:56,3/10/2012 7:56,Domestic Dispute,1303,Strawberry Hill,"0 STREET SAUVEUR COURT, Cambridge, MA"
2012-01785,3/10/2012 8:59,03/09/2012 11:00 - 03/10/2012 07:00,Housebreak,1004,West Cambridge," BRATTLE STREET, Cambridge, MA"
2012-01786,3/10/2012 9:28,3/10/2012 2:00,Housebreak,1005,West Cambridge,"0 BROWN STREET, Cambridge, MA"
2012-01788,3/10/2012 8:50,03/10/2012 01:15 - 06:00,Housebreak,1005,West Cambridge,"0 FOSTER PLACE, Cambridge, MA"
2012-01789,3/10/2012 9:45,3/10/2012 9:44,Simple Assault,707,Riverside,"0 Mount Auburn STREET, Cambridge, MA"
2012-01790,3/10/2012 12:02,3/10/2012 12:01,Phone Calls,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01791,3/10/2012 13:13,3/10/2012 13:12,Forgery,1202,Highlands,"100 SMITH PLACE, Cambridge, MA"
2012-01792,3/10/2012 13:58,03/10/2012 12:00 - 14:00,Larceny from MV,107,East Cambridge,"FIRST STREET & THORNDIKE STREET, Cambridge, MA"
2012-01793,3/10/2012 12:56,03/10/2012 00:00 - 01:30,Housebreak,406,Area 4," TREMONT STREET, Cambridge, MA"
2012-01794,3/10/2012 13:59,03/09/2012 22:00 - 03/10/2012 07:00,Mal. Dest. Property,304,Inman/Harrington,"200 CARDINAL MEDEIROS Avenue, Cambridge, MA"
2012-01797,3/10/2012 15:55,03/10/2012 15:50 - 15:54,Street Robbery,502,Cambridgeport,"Landsdowne STREET & Pacific STREET, Cambridge, MA"
2012-01798,3/10/2012 16:28,03/09/2012 13:00 - 03/10/2012 16:28,Hit and Run,302,Inman/Harrington,"CAMBRIDGE STREET & SPRINGFIELD STREET, Cambridge, MA"
2012-01799,3/10/2012 16:39,03/09/2012 19:30 - 03/10/2012 07:00,Mal. Dest. Property,803,Agassiz,"0 EVERETT STREET, Cambridge, MA"
2012-01800,3/10/2012 17:04,3/10/2012 17:04,Simple Assault,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01802,3/10/2012 18:01,3/10/2012 18:01,Street Robbery,708,Riverside,"0 JFK STREET, Cambridge, MA"
2012-01803,3/10/2012 19:35,03/10/2012 18:55 - 19:15,Shoplifting,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2012-01804,3/10/2012 23:48,3/10/2012 23:48,Threats,502,Cambridgeport,"0 BROOKLINE PLACE, Cambridge, MA"
2012-01806,3/11/2012 1:26,3/11/2012 1:26,OUI,105,East Cambridge,"CAMBRIDGE STREET & SEVENTH STREET, Cambridge, MA"
2012-01807,3/11/2012 3:33,3/11/2012 3:32,Larceny from Residence,910,Peabody,"200 RICHDALE Avenue, Cambridge, MA"
2012-01808,3/11/2012 10:54,03/10/2012 18:00 - 03/11/2012 08:45,Hit and Run,1012,West Cambridge,"Concord Avenue & Fayerweather STREET, Cambridge, MA"
2012-01810,3/11/2012 12:56,03/10/2012 22:30 - 03/11/2012 12:00,Mal. Dest. Property,1009,West Cambridge,"100 FAYERWEATHER STREET, Cambridge, MA"
2012-01813,3/11/2012 16:33,03/11/2012 16:00 - 16:30,Larceny from Person,708,Riverside,"0 DUNSTER STREET, Cambridge, MA"
2012-01815,3/11/2012 18:40,03/11/2012 18:49 - 18:40,Larceny from Person,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01816,3/11/2012 18:38,03/11/2012 06:00 - 06:10,Hit and Run,502,Cambridgeport,"200 BROOKLINE STREET, Cambridge, MA"
2012-01817,3/11/2012 18:15,3/11/2012 18:14,Simple Assault,1109,North Cambridge,"400 RINDGE Avenue, Cambridge, MA"
2012-01818,3/11/2012 19:56,03/11/2012 19:30 - 21:10,Mal. Dest. Property,707,Riverside,"0 DUNSTER STREET, Cambridge, MA"
2012-01820,3/11/2012 20:15,3/11/2012 20:14,Missing Person,502,Cambridgeport,"200 ALBANY STREET, Cambridge, MA"
2012-01821,3/11/2012 18:59,3/11/2012 18:58,Drugs,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01823,3/11/2012 20:46,3/11/2012 20:45,Harassment,1111,North Cambridge,"0 KIMBALL STREET, Cambridge, MA"
2012-01824,3/11/2012 20:48,3/11/2012 20:47,Hit and Run,1105,North Cambridge,"2000 MASSACHUSETTS Avenue, Cambridge, MA"
2012-01826,3/11/2012 23:03,03/11/2012 20:30 - 23:02,Larceny from MV,1002,West Cambridge,"0 ELIOT STREET, Cambridge, MA"
2012-01827,3/12/2012 8:35,03/12/2012 02:30 - 08:35,Auto Theft,1109,North Cambridge,"200 SHERMAN STREET, Cambridge, MA"
2012-01830,3/12/2012 9:23,3/12/2012 9:22,Harassment,805,Agassiz,"0 CRESCENT STREET, Cambridge, MA"
2012-01831,3/12/2012 11:31,3/12/2012 11:31,Forgery,706,Riverside,"500 FRANKLIN STREET, Cambridge, MA"
2012-01832,3/12/2012 10:40,3/12/2012 10:39,Aggravated Assault,1109,North Cambridge,"400 RINDGE Avenue, Cambridge, MA"
2012-01833,3/12/2012 12:06,3/12/2012 12:05,Forgery,1109,North Cambridge,"400 RINDGE Avenue, Cambridge, MA"
2012-01834,3/12/2012 12:14,3/12/2012 12:14,Drugs,405,Area 4,"100 COLUMBIA STREET, Cambridge, MA"
2012-01835,3/12/2012 12:13,3/12/2012 12:13,Shoplifting,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2012-01838,3/12/2012 13:38,3/12/2012 13:37,Warrant Arrest,108,East Cambridge,"100 Sixth STREET, Cambridge, MA"
2012-01842,3/12/2012 16:22,03/03/2012 19:39 - 03/12/2012 16:21,Larceny from Residence,1103,North Cambridge,"0 WASHBURN TERRACE, Cambridge, MA"
2012-01843,3/12/2012 16:18,3/12/2012 16:17,Simple Assault,1109,North Cambridge,"300 RINDGE Avenue, Cambridge, MA"
2012-01844,3/12/2012 16:41,02/01/2012 16:41 - 03/12/2012 16:41,Larceny from Building,708,Riverside,"1300 Massachusetts Avenue, Cambridge, MA"
2012-01845,3/12/2012 16:49,03/10/2012 16:54 - 03/12/2012 16:49,Forgery,1004,West Cambridge,"0 CONCORD Avenue, Cambridge, MA"
2012-01846,3/12/2012 16:32,3/12/2012 16:31,Housebreak,1005,West Cambridge,"0 FOSTER STREET, Cambridge, MA"
2012-01848,3/12/2012 17:06,03/11/2012 01:40 - 01:50,Shoplifting,302,Inman/Harrington,"1000 CAMBRIDGE STREET, Cambridge, MA"
2012-01849,3/12/2012 17:44,3/10/2012 19:08,Hit and Run,1002,West Cambridge,"Mount Auburn STREET & UNIVERSITY ROAD , Cambridge, MA"
2012-01850,3/12/2012 17:14,3/12/2012 17:13,Forgery,602,Mid-Cambridge,"0 BIGELOW STREET, Cambridge, MA"
2012-01851,3/12/2012 17:36,3/12/2012 17:36,Mal. Dest. Property,203,MIT,"100 VASSAR STREET, Cambridge, MA"
2012-01852,3/12/2012 17:54,03/12/2012 15:00 - 17:00,Larceny from Person,1002,West Cambridge,"100 Mount Auburn STREET, Cambridge, MA"
2012-01853,3/12/2012 17:54,03/12/2012 17:45 - 17:55,Larceny from Person,1111,North Cambridge,"CEDAR STREET & MASSACHUSETTS AVENUE, Cambridge, MA"
2012-01854,3/12/2012 18:26,3/12/2012 18:25,Larceny from Building,1008,West Cambridge,"0 LOWELL STREET, Cambridge, MA"
2012-01855,3/12/2012 19:01,03/08/2012 18:00 - 19:00,Larceny from Person,704,Riverside,"0 GILMORE STREET, Cambridge, MA"
2012-01856,3/12/2012 19:20,3/12/2012 19:19,Hit and Run,1101,North Cambridge,"0 PORTER SQUARE, Cambridge, MA"
2012-01857,3/12/2012 19:06,3/12/2012 19:06,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2012-01858,3/12/2012 19:20,3/12/2012 19:19,Larceny from Residence,1001,West Cambridge,"0 FARWELL PLACE, Cambridge, MA"
2012-01860,3/12/2012 19:39,03/09/2012 20:00 - 03/10/2012 10:00,Mal. Dest. Property,802,Agassiz,"0 EVERETT STREET, Cambridge, MA"
